,Tweet
28,"@GODSTAR666 @GyanTherapy @TechnicalGuruji kyu samsung , vivo , oppo ka koi mobile nahi mila kya😂😂🤣🤣 aur yaha realme ki baat nahi ho rahi hai😉😉"
29,@TrakinTech Kash Oppo F19pro+ give away mai main lucky hu to mujhe bhi bada mobile chalane ko mil jayega🤗
30,"48MP कैमरा और 8GB रैम के साथ आये Oppo F19 Pro, F19 Pro+ स्मार्टफोन्स, जानिए कीमत फीचर्स और सेल डीटेल

@oppomobileindia 

https://t.co/L9b7eq5xl4"
31,https://t.co/jBkhC07ZGD #TrakinTech Bhai shahb mere ko Mobile bahut aacha laga please dila do please Bhai shahb dila do
32,"RT @NbtTech: 48MP क्वाड रियर कैमरा के साथ Oppo F19 Pro+ और Oppo F19 Pro भारत में लॉन्च, जानें कीमत व खूबियां
https://t.co/NFsZ2PRtW1 https:…"
33,"48MP क्वाड रियर कैमरा के साथ Oppo F19 Pro+ और Oppo F19 Pro भारत में लॉन्च, जानें कीमत व खूबियां
https://t.co/NFsZ2PRtW1 https://t.co/4ahkPQLTOT"
34,"ओप्पो लाया दो धांसू स्मार्टफोन, जानें इनकी कीमत और खूबियां... 

@oppomobileindia
@oppo
#OPPOF19ProSeries
#FlauntYourNights

https://t.co/g2s9GRF9Yz"
35,"ओप्पो ला रहा दो धांसू स्मार्टफोन, जानें खास बातें...

@oppomobileindia
@oppo
#OPPOF19ProSeries
#OppoF19Pro
#oppof19proplus 

https://t.co/hvPnLhDlMU"
36,"RT @sun_itsSD: @OPPO_Mobile_MP Ans👉 Tera Dhyaan Kidhar Hai ""Varun Dhawan"" OPPO F19 Pro Series lekar Idhar Hai 😉😍
#OPPOF19ProSeries #FlauntY…"
37,"RT @prasanttomar: और न ही service center द्वारा कोई संतोषजनक जवाब दिया गया है कि कब तक उसके mobile की screen replace होगी ।
मेरा realme से…"
38,"और न ही service center द्वारा कोई संतोषजनक जवाब दिया गया है कि कब तक उसके mobile की screen replace होगी ।
मेरा realme से निवेदन है कि मेरे दोस्त की इस  समस्या को शीघ्र ही समाधान करने का कष्ट करना । (2/2)
#realme7pro"
39,"रियलमी दे रहा जबरदस्त ऑफर, सिर्फ 1080 रुपये में प्री-बुक कर सकते हैं फोन 

@realmeIndia 
@Flipkart 
#realme8series 
#Realme8Pro 
#Realme8 

https://t.co/GU7aYsffo2"
40,"@SamsungIndia @sarahjanedias03 Fast charger नहीं होगा,  realme जैसे mobile 35 मिनट में full charge होता है।  samsung के किसी भी mobile मे Fast charging की सुविधा नहीं है। 3 घंटे लगते हैं फुल चार्ज करने में ,और ये बहुत बरी समस्या है इसे कंपनी को जल्द दूर करना चाहिए।"
41,"@MadhavSheth1 @realmeTechLife 

 mere pas ek Chinese realme x7 pro hai mere mobile me jio sim se data to on ho gaya but volte option nahi AA raha .
Settings me bhi volte option nahi hai *#4636*# code bhi nahi Kam kar raha hai .

Main Kya karu"
42,"@TheMrPhone mere pas ek Chinese realme x7 pro hai mere mobile me jio sim se data to on ho gaya but volte option nahi AA raha .
Settings me bhi volte option nahi hai *#4636*# code bhi nahi Kam kar raha hai .

Main Kya karu"
43,"Hello @stufflistings Bhai.

mere pas ek Chinese realme x7 pro hai mere mobile me jio sim se data to on ho gaya but volte option nahi AA raha .
Settings me bhi volte option nahi hai *#4636*# code bhi nahi Kam kar raha hai .

Main Kya karu"
44,"@91mobiles @91mobilesHi mere pas ek Chinese realme x7 pro hai mere mobile me jio sim se data to on ho gaya but volte option nahi AA raha .
Settings me bhi volte option nahi hai *#4636*# code bhi nahi Kam kar raha hai .

Main Kya karu"
45,"@ishanagarwal24 Hello Bhai 

mere pas ek Chinese realme x7 pro hai mere mobile me jio sim se data to on ho gaya but volte option nahi AA raha .
Settings me bhi volte option nahi hai *#4636*# code bhi nahi Kam kar raha hai .

Main Kya karu"
46,"RT @NbtTech: 6000 mAh बैटरी वाले Realme C15 पर ऐसे पाएं 1000 रुपये की छूट, जानें पूरा ऑफर
https://t.co/D4q2bsnnto https://t.co/L0IJLDNsGD"
47,"RT @NbtTech: 6000 mAh बैटरी वाले Realme C15 पर ऐसे पाएं 1000 रुपये की छूट, जानें पूरा ऑफर
https://t.co/TAupstWCgM https://t.co/cumuYRSG9e"
48,"6000 mAh बैटरी वाले Realme C15 पर ऐसे पाएं 1000 रुपये की छूट, जानें पूरा ऑफर
https://t.co/D4q2bsnnto https://t.co/L0IJLDNsGD"
49,@MadhavSheth1 Hi Madhav sir ap Pakistan ma kab new mobile launch Kare Ge under 30k ke ma mobile launch Kare de
50,"कम कीमत में दमदार बैटरी वाले स्मार्टफोन चाहिए? इस लिस्ट में मिलेगा बेस्ट ऑप्शन 
@Flipkart  
#6000mAh
@realmIndia

https://t.co/y4OGK6zKKC"
51,"@Flipkart @flipkartsupport 
#बेवकूफ_मत_बनाओ
मैने अपना मोबाईल realme 2pro एक्सचेंज किया मेरे mobile का E.Value 6750/-  था but exchange के टाइम कूरियर वाला बोला आपका MOB ka body डेंट है। But  MOB का बॉडी थोड़ा सा भी डेंट नही था। फालतू में मुझसे 1250/- लिए E.Value मात्र 5500/- मिला।"
52,"@Flipkart 
#बेवकूफ_मत_बनाओ
मैने अपना मोबाईल realme 2pro एक्सचेंज किया मेरे mobile का E.Value 6750/-  था but exchange के टाइम कूरियर वाला बोला आपका mobile ka body डेंट है। But mere mobile का बॉडी थोड़ा सा भी डेंट नही था। फालतू में मुझसे 1250/- लिए E.Value मात्र 5500/- मिला।"
53,"@flipkartsupport
#बेवकूफ_मत_बनाओ
मैने अपना मोबाईल realme 2pro एक्सचेंज किया मेरे mobile का E.Value 6750/-  था but exchange के टाइम कूरियर वाला बोला आपका mobile ka body डेंट है। But mere mobile का बॉडी थोड़ा सा भी डेंट नही था। फालतू में मुझसे 1250/- लिए E.Value मात्र 5500/- मिला।"
54,"लॉन्च से पहले Realme 8 सीरीज की कीमत आई सामने, जानें कितने में आएगा 108MP कैमरे वाला स्मार्टफोन

#realme8series @realmeIndia 

https://t.co/y5T6r19cR6"
55,"RT @NbtTech: लॉन्च से पहले Realme 8 Pro की कीमत और खूबियां समेत पूरी जानकारी लीक, देखें डीटेल
https://t.co/VjN62ih8bS https://t.co/PsTh9OIX…"
56,"6000 तक 4जी मोबाइल ?
Link:- https://t.co/Ao2CXRl8JQ

#ezeonsoft #mobile #apps #news #internt #4G #5G #blog #technews #मोदी_तोमर_शर्म_करो #India_With_PM_Modi #SavitribaiPhule #NoSmokingDay #wednesdaythought #TirathSinghRawat #Ronaldo #Sadhguru #DhoniReturns #realme #RedmiNote10"
57,सस्ता हुआ Realme का 6000mAh बैटरी वाला बजट स्मार्टफोन C15  news in hindi https://t.co/OgacFwsSAi
58,@realmemobiles @Flipkart Bhai log agar realme ka phone buy krna hai to 12000 se zyada wala karna.10k se neeche wale mobile phone ke software update mein bahut zyada problem aati hain.mein 2 saal se yahi kuch jhell raha hoon.c3 ka na to ota update mila aur na koi manual link provide kiya gaya 6 din ho gye
59,"वीवो का दमदार स्मार्टफोन जल्द होगा लॉन्च, जानिए क्या हो सकते हैं फीचर 

@Vivo_India 
#vivoX60 

https://t.co/9fvlx04ffO"
60,"10,000 रुपये से कम कीमत में आते हैं वीवो के ये 4 मोबाइल फोन https://t.co/o6M089wskg"
61,RT @anshul87919100: Vivo mobile pahle coustomer ko problem dete hai phir solution ke naam par coustomer ko paresan karte hai Aur paise bhi…
62,@Sudaiskhan0 Tab chaiya chaiya wali mobile use karte the aur aaj dekh lo vivo relme hai😁😁 https://t.co/af3HMVMQQE
63,"Vivo जल्द ही X60 सीरीज के फोन लांच करने जा रहा है। खबरों के मुताबिक 25 मार्च को इन सीरीज के स्मार्टफोन लांच हो सकते हैं #MobileNews #Vivox60 #VivoMobile 
https://t.co/O1SI0SLZ8j"
64,@KaroulSahil @Vivo_India @nipunmarya 30000 hai mere pass kaun sa mobile aaj ke latest technology ke sath best hai jo future ke anusar upadted rahega
65,"Vivo अपने नए स्मार्टफोन्स 25 मार्च को लॉन्च करने वाला है, जानें डिटेल 
#technology
https://t.co/N9sLDfCPQu"
66,"वीवो लेकर आ रहा दमदार फीचर्स वाला स्मार्टफोन, जानिए कब होगा लॉन्च 

@Vivo_India 
#vivoX60Series 
#vivoX60 
#VivoX60ProPlus 

https://t.co/PKsGHm4zmu"
67,"Vivo V20 2021 सूर्यास्त मेलोडी, 8GB RAM, 128GB स्टोरेज@₹24,990.00 Fulfilled
EMI ₹1,176 से शुरु । नो कॉस्ट EMI उपलब्ध. EMI विकल्पसभी टैक्स सहित
https://t.co/PfoQ3K8MBO : new launch mobile 2021 https://t.co/Pe4zlOD1QJ via @amazon
64MP+8MP+2MP प्राइमरी कैमरा | 44MP आगे वाला कैमरा https://t.co/KIvhCq6dJ2"
68,"Vivo X60 सीरीज में मिलेगा दमदार कैमरा और फीचर, जानिए कब होगी लॉन्चिंग

#VivoX60ProPlus 
#vivox60pro 
#vivox60series 
@Vivo_India 

https://t.co/od2IoG7pon"
69,"RT @NbtTech: लॉन्च से पहले Mi 11 Lite 5G और Poco X3 Pro की प्राइस लीक, देखें कीमत और खासियत
https://t.co/jY9jGrk4DS https://t.co/guCtQfJRaf"
70,"लॉन्च से पहले Mi 11 Lite 5G और Poco X3 Pro की प्राइस लीक, देखें कीमत और खासियत
https://t.co/jY9jGrk4DS https://t.co/guCtQfJRaf"
71,"RT @aajtak: फिलहाल ये साफ नहीं है कि Xiaomi के किस फोन में ये टेक्नोलॉजी दी जाएगी...

https://t.co/T95VFcKAtW"
72,"फिलहाल ये साफ नहीं है कि Xiaomi के किस फोन में ये टेक्नोलॉजी दी जाएगी...

https://t.co/T95VFcKAtW"
73,"@tanwer_m @madeforbrettLEE Ab Amazon pe bhi mil Raha hai

https://t.co/aaIaIoKSZp"
74,"जानें Xiaomi के इस नए स्मार्टफोन में और क्या कुछ खास है
#technology 
https://t.co/wHfLVhHGWr"
75,"दमदार फीचर वाला नया Xiaomi स्मार्टफोन हुआ लॉन्च, जानिए कितनी है कीमत 
#XiaomiMi10s
#Mi10s
@Xiaomi 

https://t.co/4yCVIxelh0"
76,"@GODSTAR666 @GyanTherapy @TechnicalGuruji samsung ke ghatiya phone ko bhi accha kahana
xiaomi ki kisi bhi mobile ko bekar kahna
sirf dabba kholna
😏😏😏😏😏"
77,"108MP कैमरे वाला दमदार स्मार्टफोन होगा जल्द लॉन्च, जानिए क्या होंगे फीचर्स 

#108MP 
#XiaomiMi10S 
#Xiaomi 
@Xiaomi 

https://t.co/Dpkyx7dzeS"
78,@me_dishu 2004 me mobile phone liya tha nam to thik se yad nahi par us samay me smart ki sim liya tha 2500 so me jo aj bhi he jio par chal rahi he mobile Nokia ka tha koi 3230 nam tha model ka uske bad n91 liya tha mene n70 liya tha 🙏🙏👏🙏👏👏
79,"🤣🤣🤣🤣🤣

Santa ne Nokia ka sabse badi screen wala mobile le liya
.

.

.

Kyon??????
.

...
.

.

Kyonki Woh dekna chahta tha ki,

Phone switch ON karne per kaun se 2 log hath milate hai......"
80,@ohhfudge_ Ek Kam Karo Ye Mobile Bech Ke Nokia Ka Dibba Lo Aone aao SM Se Dur Ho Jayegi
81,"@LenovoMobileIN sir lenovo k8 plus mobile ki battery ki price Kya he? Mujhe Mera pH ka battery change karna he urgent, , city- rewari, Haryana"
82,"Lenovo अपना नया और पावरफुल स्मार्टफोन लॉन्च करने जा रही है। कंपनी का कहना ह कि यह स्मार्टफोन एक गेमिंग डिवाइस होगा जो Legion Pro 2 या Legion 2 Pro के नाम से बाजार में... #MobileNews #LenovoLegion2pro #Lenovo 
https://t.co/3jZFRgJCQs"
83,"6,000 रुपये से कम में पाएं ये 4 मोबाइल फोन, जानें कीमत, फीचर्स , कैमरा और बैटरी के बारे में https://t.co/4sGL46aS46"
84,"@kar_subrat @INCIndia Congress ke raj me apne ye bate kabhi kisi party ke virudh nahi tweet ki hongi.... Check your profile, aaj club open hai or school band kisko doshi manoge, mobile companies ke saare network khrab ho chuke hai sivay jio ke, kisko doshi manoge,"
85,@BJP4India @AmitShah Mobile network company deti na ki Modi. Woh alag baat hai ki Jio Modi ki ho company hai.
86,"मोबाइल इंटरनेट स्पीड में पाकिस्तान से पिछड़ा से भी भारत, श्रीलंका और भूटान भी हमसे आगे..

@Speedtest 

https://t.co/alxr98kK36"
87,@Ashlyn_BTS Mobile data chutiya ha chalta hi nhi bas jio fiber ki wait kar rhi hu 😣
88,"@Jaspree76736005 @kanishk_kanungo @ANI Bhai tu mobile tower Jio ya Airtel ka na use kar , paise kharch ke apna hi laga le."
89,@MonikaSingh__ @anjali620484 Mobile main jio sim lgi hui China ka mobile hath main hai
90,"@JioCare क्या दुबारा से यही जवाब मिलने वाला है?😂
आप लोग अपना Mobile network को सुधरे ना कि अपनी कमियों को छुपाएंपिछले 1 साल पहले तक #Jio आपका मोबाईल Network बहुत अच्छा था।लेकिन अब बत-से भी-बत्तर हो गया है। खास कर 816101 पर। @theworldguru786 @gokulbhagat @JaidevS57396897 @Maheshk57597097 https://t.co/irLMSWs5an"
91,"ब्रॉडबैंड स्पीड में जियो और मोबाइल स्पीड में वोडाफोन-आइडिया सबसे आगे- रिपोर्ट #internet 
https://t.co/tvCBAWjaWQ"
92,"@Airtel_Presence 
Jio mobile number Airtel मैं port करवाया था लेकिन 3 घंटे से नेटवर्क बिल्कुल गायब है network का दूर-दूर तक नामोनिशान नहीं है 2G भी नहीं है। DM पर भी मैसेज करके डिटेल आपको भेज दी है।
किसने शानदार नेटवर्क के लिए एयरटेल को बधाई"
93,अब तो बस jio डाटा के नाम पर सिर्फ और सिर्फ लोगों को लूट रहा है Network 4G speed 2G और call to घंटों नहीं लगता। घर के अंदर तो jio Network mobile एक डिब्बे के समान है @JioCare
94,"@JioCare @reliancejio @DoT_India हमने अपने पूरे परिवार का mobile SIM एक-एक करके @reliancejio में PORT करवा लिया था।

अब हम एक-एक करके सभी mobile SIM @reliancejio से PORT OUT करवाने लगे हैं तुम्हारा Voice Call भी jio to jio network पर भी ज्यादा तर समय ठीक से सुनाई नहीं देता हैं सुधर जा नहीं तो Rcom जैसा हो जायेगा"
95,@JioCare @reliancejio @jiostudios @JioSaavn @JioCinema PRM id Of jio pos plus 0660682102 mobile no 7903909049 itna bad support kyon hai? Koi Support nahi hai ? Please kuchh kijiye sir 🙏 ek mobile number update ke liye 100+ days se pareshan kiya ja raha hai 🙏 urgent 🙏
96,"Jio की ब्रॉडबैंड इंटरनेट स्पीड में टॉप पर मगर मोबाइल इंटरनेट स्पीड में पीछे.. 

@reliancejio 

https://t.co/j2ivX849XC"
97,"RT @GadgetsHindi: Jio डाउनलोड स्पीड में सबसे फास्ट और BSNL सबसे स्लो, जानें Airtel और Vi का हाल
https://t.co/pQKJr2lZ2p"
98,"RT @ndtvindia: Jio डाउनलोड स्पीड में सबसे फास्ट और BSNL सबसे स्लो, जानें Airtel और Vi का हाल
https://t.co/J2F4VmnVie"
99,"Jio और Airtel की बादशाहत को झटका, ये बनीं सबसे तेज मोबाइल इंटरनेट स्पीड देने वाली कंपनी, देखें पूरी लिस्टhttps://t.co/6k2zsXY28T"
100,"Jio डाउनलोड स्पीड में सबसे फास्ट और BSNL सबसे स्लो, जानें Airtel और Vi का हाल
https://t.co/J2F4VmnVie"
101,"Jio डाउनलोड स्पीड में सबसे फास्ट और BSNL सबसे स्लो, जानें Airtel और Vi का हाल
https://t.co/pQKJr2lZ2p"
102,@ansHarshi @BK_Bhartiy @3cdbd29c52d94d5 @abbas_nighat Aapne kabhi mobile bills k bare me charcha nahi ki behan ji.. Kuch saal pehle jab aapka bill mahine ka 5000 aata tha..but JIO ne muft me baant diya internet aur calling..😉
103,"RT @KesariPunjab: पंजाब में बिजली बोर्ड के अफसरों के मोबाइल सिम होंगे Port, सरकार ने इस Company को दिया ठेका
https://t.co/cSKbM3l2yC
#punja…"
104,"पंजाब में बिजली बोर्ड के अफसरों के मोबाइल सिम होंगे Port, सरकार ने इस Company को दिया ठेका
https://t.co/cSKbM3l2yC
#punjab #jalandhar #Jio #KisanAndolan #officers #FarmersProtest #PSPCL #HindiNews #BREAKING https://t.co/FLdmpPGqZf"
105,"@JioCare @reliancejio @reliancegroup @airtelindia @VodafoneIN @VodaIdea_NEWS 

ye hai new jio mobile jo ki open hi nhi ho rha kal se 
iske aage hi nhi jaa rha 
Dear ambani ji kam se kam paise jyada le lo magar mobile to accha do 
jio care per Services ke liye bhi ghumate hai https://t.co/DCNVA7MTY6"
106,@stup123 @Sai50111 Jio oka choice anta ala ruddhesaru jio valana neeku amiti prayojanam. Jio anedhi oka corporate plan okappudu manam mobile lo net konchem use chesevallam manaku free ani cheppi internet ki banisalanu chesi ippudu month ki 250 rupees recharge chesukonela chesaru..
107,jio mobile koi mat lena bahut hi kharab hai paisa vest jayega https://t.co/3KO1GpagHj
108,@reliancejio  jio mobile no 1 ghatiya hai
109,@reliancejio @JioCare @MamataOfficial jio company sab Ko banati hai India1nhi company like Nahin hai India ke logon ko Mukesh ambani ko sharm aana chahie logon ke sang short karne ke liye main dikhta hun Kaise prapt karti hai mera mobile Nahin chal raha hai net Mera hote hue bhi https://t.co/0rAtJHb5S9
110,@RahulGandhi sir mere village me mobile tower lag raha hai wa bhi bina permission ke mere objection ke bad bhi waha ka prsasan koi karwa hi nahi kar raha hai or jio ka tower lga rahe hai kya Congress ki government aane se rajsthan me kanun vayavastha itni kamjor ho gahi hai
111,@Shweta15108211 Muje mobile aur jio ke data me ishq sasta padta hai
112,@DmpaliPali sir mere ghar ke pass objections hone or bigar pramission ke Jio mobile tower lga rahe hai vo bhi dada giri se or grampanchayat koi karvahi nahi kar rahi hai sab mili Bhagat hai villege residents area ke bhich me laga rahe hai bina pramission dhani 306116balipali
113,"@maryada_maurya Desh virodhiyon ki pehchan sasti ho gai, vipacchiyon ki aukat sasti ho gai.😂😂😆🤣🤣 Baiot hai itna. Baki 2016 me jio aane ke baad mobile data sasta hai to tu or tere jaise log aise vaise kaam kar ke or jaise taise phone chala ke time pass kar hi lenge."
114,"Paytm ने दिया अपने यूजर्स को बड़ा तोहफा, मोबाइल रिचार्ज और बिल पेमेंट पर मिलेगा 1 हजार रुपये तक का कैशबैक
.
https://t.co/eNShK1QLn8
.
#Paytm #Paytmnewsforusers #Paytmspecialoffer #cashbackoffer #mobilerecharge #billpayments #OfferfornewPaytmcustomers #jio #Vi #Airtel #BSNL #MTNL"
115,"RT @Jay02_yo: Chicha ko Jio ka mobile tower bachane to hua nahi aur ipl ka match host karna hai, ambani se problem hai but Mumbai indian ki…"
116,"Chicha ko Jio ka mobile tower bachane to hua nahi aur ipl ka match host karna hai, ambani se problem hai but Mumbai indian ki match host karke Paisa jarurar kamana hai par ,heypocricy ki bhi seema hoti hai 🤧🤧😂😂 https://t.co/2EYHBzPAGA"
117,"Jab se jio waale apne fiber net ke liye ghar ghar ja rahe hain..

Tab se saare mobile data network sahi se kaam kyun nahi kar rahe  ?

Sochne waali baat hai.."
118,@Pradeepku @ParvinderRao3 @ShriRamTeerth @Micromax__India Areh bhai ek photo sirf readmi ka hai... Ar ye mobile aaj he tode kharid ke photo click kiya gya h.🤦
119,"क्या माइक्रोमैक्स ला रही एक और किफायती स्मार्टफोन? लॉन्चिंग से पहले लीक हुए फीचर्स

@Micromax__India 
#MicromaxIsBack 
#MicromaxIN1 

https://t.co/lZBstrFVxC"
120,@Micromax__India Bohot bhafiya bas apna lakshay itna rakhna ki en dhoort chinese mobile company ko dhul chata dena.Jai Bharat Varsh.
121,"RT @aajtak: 19 मार्च को लॉन्च होगा भारतीय कंपनी Micromax का नया स्मार्टफोन, जानें क्या कुछ हो सकता है खास  

https://t.co/aRYrviL5tY"
122,"19 मार्च को लॉन्च होगा भारतीय कंपनी Micromax का नया स्मार्टफोन, जानें क्या कुछ हो सकता है खास  

https://t.co/aRYrviL5tY"
123,"@Micromax__India maiy IN 1b model 2/32 wala Mobile flipkart se liya may Zomato me delivery ka kam karta hu
Jab mai Zomato ke app se map pe jane ki koshish karta hu to this fecharce not available dikhata hai esase mujhe bahut 
Dikkat aa raha hai https://t.co/jeC7N0fBmA"
124,"RT @chlo_thk_hai: Mainy b socha tha so jata hn
Ab mobile uthany sony ni ho tha:)"
125,"Mainy b socha tha so jata hn
Ab mobile uthany sony ni ho tha:) https://t.co/tTLRZxvnqs"
126,"Mujhe jldi sony ki adat thi, phr Meri life main mobile aa gya ab mjhy koi adat e ni rhi😂"
127,"RT @NbtTech: गुड न्यूज! लॉन्च होंगे Sony Xperia सीरीज के 4 फोन, Xperia Ace 2 में स्नैपड्रैगन 690 प्रोसेसर
https://t.co/BoyvpBfk6X https://t…"
128,"गुड न्यूज! लॉन्च होंगे Sony Xperia सीरीज के 4 फोन, Xperia Ace 2 में स्नैपड्रैगन 690 प्रोसेसर
https://t.co/BoyvpBfk6X https://t.co/FbULh2WdCT"
129,"RT @NbtTech: सस्ता हो गया Samsung Galaxy M01 Core बजट फोन, 5 हजार से कम कीमत में उपलब्ध
https://t.co/Qmqve9L1fz https://t.co/HjxnoblSUq"
130,"सस्ता हो गया Samsung Galaxy M01 Core बजट फोन, 5 हजार से कम कीमत में उपलब्ध
https://t.co/Qmqve9L1fz https://t.co/HjxnoblSUq"
131,@ManojSaru @oppomobileindia Sir Mujhe mobile ki bahot jryurt hai mere pas samsung j2 ka tin sal purana phone hai
