,hi-en,hi,len-hi,len-hi-en
0,e,ए,1,1
1,q,क्यू,4,1
2,o,ओ,1,1
3,ho,हो,2,2
4,me,में,3,2
5,ye,ये,2,2
6,ud,उड,2,2
7,to,तो,2,2
8,na,ना,2,2
9,vo,वो,2,2
10,of,ऑफ,2,2
11,wo,वो,2,2
12,ae,ए,1,2
13,ja,जा,2,2
14,si,सी,2,2
15,ga,गा,2,2
16,do,दो,2,2
17,be,बे,2,2
18,jo,जो,2,2
19,ek,एक,2,2
20,vi,वी,2,2
21,ya,या,2,2
22,de,दे,2,2
23,is,इस,2,2
24,hi,ही,2,2
25,ka,का,2,2
26,re,रे,2,2
27,la,ला,2,2
28,sa,सा,2,2
29,pe,पे,2,2
30,di,दी,2,2
31,se,से,2,2
32,hu,हू,2,2
33,da,दा,2,2
34,ra,रा,2,2
35,yu,यू,2,2
36,ne,ने,2,2
37,by,बाइ,3,2
38,ke,के,2,2
39,in,इन,2,2
40,my,माए,3,2
41,ve,वे,2,2
42,om,ओम,2,2
43,le,ले,2,2
44,ab,अब,2,2
45,ik,इक,2,2
46,ki,की,2,2
47,us,उस,2,2
48,tu,तू,2,2
49,up,अप,2,2
50,te,ते,2,2
51,ko,को,2,2
52,lo,लो,2,2
53,aa,आ,1,2
54,til,तिल,3,3
55,aap,आप,2,3
56,aam,आम,2,3
57,pas,पास,3,3
58,rab,रब,2,3
59,sau,सौ,2,3
60,bol,बोल,3,3
61,ruk,रुक,3,3
62,jaa,जा,2,3
63,thi,थी,2,3
64,say,से,2,3
65,nam,नम,2,3
66,hue,हुए,3,3
67,don,डोन,3,3
68,kal,कल,2,3
69,rut,रुत,3,3
70,gya,गया,3,3
71,kaa,का,2,3
72,tod,तोड़,4,3
73,mil,मिल,3,3
74,ham,हम,2,3
75,rey,रे,2,3
76,tha,था,2,3
77,yeh,यह,2,3
78,aai,आई,2,3
79,lok,लोक,3,3
80,rol,रोल,3,3
81,mai,मै,2,3
82,jae,जाए,3,3
83,are,अरे,3,3
84,kat,कट,2,3
85,kya,क्या,4,3
86,jab,जब,2,3
87,ude,उड़े,4,3
88,han,हाँ,3,3
89,san,सन,2,3
90,das,दस,2,3
91,ate,आते,3,3
92,out,आउट,3,3
93,toh,तो,2,3
94,gam,गम,2,3
95,bin,बिन,3,3
96,woh,वो,2,3
97,hor,होर,3,3
98,odh,ओढ़,3,3
99,pal,पल,2,3
100,aye,आए,2,3
101,abi,अबी,3,3
102,sid,सिड,3,3
103,aur,और,2,3
104,aaj,आज,2,3
105,tan,तन,2,3
106,gal,गल,2,3
107,gol,गोल,3,3
108,man,मन,2,3
109,hum,हम,2,3
110,jis,जिस,3,3
111,tak,तक,2,3
112,ali,अली,3,3
113,koi,कोई,3,3
114,kab,कब,2,3
115,aag,आग,2,3
116,kam,कम,2,3
117,dil,दिल,3,3
118,tum,तुम,3,3
119,kar,कर,2,3
120,keh,कह,2,3
121,har,हार,3,3
122,gau,गाऊ,3,3
123,tip,टिप,3,3
124,kai,कई,2,3
125,the,थे,2,3
126,nai,नई,2,3
127,one,वन,2,3
128,fir,फिर,3,3
129,par,पर,2,3
130,hal,हल,2,3
131,hui,हुई,3,3
132,sun,सुन,3,3
133,rit,रीत,3,3
134,naa,ना,2,3
135,ban,बन,2,3
136,isa,ईसा,3,3
137,der,देर,3,3
138,bhi,भी,2,3
139,goa,गोआ,3,3
140,yun,यूँ,3,3
141,mat,मत,2,3
142,jit,जीत,3,3
143,ank,अंक,3,3
144,chu,छू,2,3
145,hai,है,2,3
146,jai,जय,2,3
147,din,दिन,3,3
148,kyu,क्यू,4,3
149,hua,हुआ,3,3
150,has,हँस,3,3
151,pan,पन,2,3
152,bas,बस,2,3
153,sab,सब,2,3
154,hoto,होटो,4,4
155,aise,ऐसे,3,4
156,life,लाइफ,4,4
157,mast,मस्त,4,4
158,suit,सूट,3,4
159,kali,काली,4,4
160,koyi,कोई,3,4
161,rula,रुला,4,4
162,nana,नाना,4,4
163,kiya,किया,4,4
164,deti,देती,4,4
165,pyas,प्यास,5,4
166,wafa,वफ़ा,4,4
167,kaun,कौन,3,4
168,rani,रानी,4,4
169,hava,हवा,3,4
170,baar,बार,3,4
171,bane,बने,3,4
172,chor,चोर,3,4
173,paar,पार,3,4
174,yaar,यार,3,4
175,dekh,देख,3,4
176,leta,लेता,4,4
177,liye,लिए,3,4
178,band,बंद,3,4
179,love,लव,2,4
180,amar,अमर,3,4
181,atal,अटल,3,4
182,dino,दिनों,5,4
183,lagi,लगी,3,4
184,hogi,होगी,4,4
185,nahi,नही,3,4
186,bhor,भोर,3,4
187,kyon,क्यों,5,4
188,jana,जाना,4,4
