,hi-en,hi,len-hi,len-hi-en
1,o,ओ,1,1
2,a,आ,1,1
3,e,ए,1,1
4,i,ई,1,1
5,ye,ये,2,2
6,oh,ओह,2,2
7,ah,आह,2,2
8,ta,त,1,2
9,en,एं,2,2
10,lo,लो,2,2
11,ha,हा,2,2
12,su,सु,2,2
13,ja,जा,2,2
14,si,सी,2,2
15,ei,एइ,2,2
16,ab,अब,2,2
17,la,ला,2,2
18,do,दो,2,2
19,ba,बा,2,2
20,ku,कु,2,2
21,ho,हो,2,2
22,ud,उड,2,2
23,pi,पी,2,2
25,hi,ही,2,2
26,ai,आई,2,2
27,te,ते,2,2
28,to,तो२,3,2
29,of,ओफ़,2,2
30,ni,नी,2,2
31,ek,एक,2,2
32,so,सो,2,2
33,sa,सा,2,2
34,de,दे,2,2
35,as,अस,2,2
36,da,दा,2,2
37,ne,ने,2,2
38,le,ले,2,2
39,us,उस,2,2
40,ap,आप,2,2
41,ui,ऊई,2,2
42,aj,आज,2,2
43,ar,आर,2,2
44,re,रे,2,2
45,di,दी,2,2
46,ag,आग,2,2
47,ki,की,2,2
48,an,आन,2,2
49,or,ओर,2,2
50,is,इस,2,2
51,ur,उर,2,2
52,ao,आओ२,3,2
53,na,न,1,2
54,bu,बू,2,2
55,ri,री,2,2
56,in,इन,2,2
57,vo,वो,2,2
58,ka,का,2,2
59,un,उन,2,2
60,gi,गी,2,2
61,pe,पे,2,2
62,jo,जो,2,2
63,ay,आय,2,2
64,he,हे,2,2
65,ae,आए,2,2
66,ko,को,2,2
67,ke,के,2,2
68,ji,जी,2,2
69,ra,र,1,2
70,ro,रो,2,2
71,pa,पा,2,2
72,li,ली,2,2
73,ya,या,2,2
74,se,से,2,2
75,vi,वी,2,2
76,oy,ओय,2,2
77,ik,इक,2,2
78,ma,म,1,2
79,wo,वो,2,2
80,tu,तू,2,2
81,oe,ओए,2,2
82,uge,उगे,3,3
83,voh,वोह,3,3
84,kam,कम,2,3
85,nit,नित,3,3
86,are,अरे,3,3
87,mar,मर,2,3
88,jit,जीत,3,3
89,kas,कस,2,3
90,hue,हुए,3,3
91,and,अन्द,4,3
92,das,डस,2,3
93,thi,थी,2,3
94,hoy,होय,3,3
95,hot,होत,3,3
96,gam,ग़म,2,3
97,yar,यार,3,3
99,jan,जान,3,3
100,kub,ख़ूब,3,3
101,han,हाँ,3,3
102,dor,डोर,3,3
103,hal,हाल,3,3
104,dur,दूर,3,3
105,tha,था,2,3
106,yah,यह,2,3
107,ude,उड़े,3,3
108,tim,टिम,3,3
109,sha,श,1,3
110,roe,रोए,3,3
111,usi,उसी,3,3
112,chu,छू,2,3
113,ban,बन,2,3
114,hai,है,2,3
115,jal,जल,2,3
116,rat,रात,3,3
117,bin,बिन,3,3
118,bad,बाद,3,3
119,dip,दीप,3,3
120,tan,तान,3,3
121,kah,कह,2,3
122,ari,आरी,3,3
123,rab,रब,2,3
124,nil,नील,3,3
125,cha,छा,2,3
126,jor,जोर,3,3
127,roi,रोई,3,3
128,udo,उड़ोओ,4,3
129,jam,जाम,3,3
130,man,मन,2,3
131,git,गीत,3,3
132,jay,जय,2,3
133,aur,और,2,3
134,gun,गुन,3,3
135,rit,रीत,3,3
136,mal,माल,3,3
137,pit,पीत,3,3
138,sun,सुन,3,3
139,din,दिन,3,3
140,lao,लाओ,3,3
141,ise,इसे,3,3
142,tay,ताय,3,3
143,kha,खा,2,3
144,ron,रों,3,3
145,khu,खू,2,3
146,kun,कूं,3,3
147,nai,नई,2,3
148,aja,आजा,3,3
149,jat,जट,2,3
150,nor,नोओर,4,3
151,bag,बाग़,3,3
152,for,फ़ोर,3,3
153,vah,वाह,3,3
154,day,दाय,3,3
155,aha,आहा,3,3
156,tak,तक,2,3
157,dam,दाम,3,3
158,mat,मत,2,3
159,dag,दाग़,3,3
160,tar,तार,3,3
161,nur,नूर,3,3
162,rob,रोब,3,3
163,gao,गाओ,3,3
164,ram,राम,3,3
165,jis,जिस,3,3
166,sae,साए,3,3
167,jun,जूं,3,3
168,gul,गुल,3,3
169,tut,टूट,3,3
170,nae,नए,2,3
171,hay,हाय,3,3
172,bha,भा,2,3
173,ata,आता,3,3
174,tir,तीर,3,3
175,kie,किए,3,3
176,jin,जिन,3,3
177,len,लें,3,3
178,rok,रोक,3,3
179,bar,बार,3,3
180,pal,पल,2,3
181,gar,गर,2,3
182,dar,डर,2,3
183,pae,पाए,3,3
184,aun,आऊँ,3,3
185,lae,लाए,3,3
186,kat,ख़त,2,3
187,kai,कई,2,3
188,sad,सद,2,3
189,nun,नूं,3,3
190,nan,नां,3,3
191,gai,गई२,3,3
192,mud,मुड़,3,3
193,ilm,इल्म,4,3
194,jag,जग,2,3
195,ore,ओरे,3,3
196,hoa,होऽ,3,3
197,die,दिए,3,3
198,ret,रेत,3,3
199,aen,आएँ,3,3
